scenario_id,perturbed_profile,weight_name,direction,perturbation_fraction,multiplier,original_weight,perturbed_raw_weight,perturbed_normalized_weight,normalized_weights_json,spearman_rank_correlation,mean_absolute_rank_change,median_absolute_rank_change,max_absolute_rank_change,top_5_jaccard,top_5_retention,top_5_shared_targets,top_10_jaccard,top_10_retention,top_10_shared_targets,top_20_jaccard,top_20_retention,top_20_shared_targets,baseline_benchmark_primary_intent_accuracy_covered,scenario_benchmark_primary_intent_accuracy_covered,delta_benchmark_primary_intent_accuracy_covered,baseline_benchmark_primary_intent_macro_f1_covered,scenario_benchmark_primary_intent_macro_f1_covered,delta_benchmark_primary_intent_macro_f1_covered,baseline_benchmark_acceptable_intent_accuracy_covered,scenario_benchmark_acceptable_intent_accuracy_covered,delta_benchmark_acceptable_intent_accuracy_covered,baseline_benchmark_cross_intent_specificity_covered,scenario_benchmark_cross_intent_specificity_covered,delta_benchmark_cross_intent_specificity_covered,baseline_benchmark_control_not_prioritized_rate_covered,scenario_benchmark_control_not_prioritized_rate_covered,delta_benchmark_control_not_prioritized_rate_covered,baseline_benchmark_mean_mode_top_5_recall_covered,scenario_benchmark_mean_mode_top_5_recall_covered,delta_benchmark_mean_mode_top_5_recall_covered,baseline_benchmark_mean_mode_top_10_recall_covered,scenario_benchmark_mean_mode_top_10_recall_covered,delta_benchmark_mean_mode_top_10_recall_covered,baseline_benchmark_mean_mode_top_20_recall_covered,scenario_benchmark_mean_mode_top_20_recall_covered,delta_benchmark_mean_mode_top_20_recall_covered,baseline_profile_primary_intent_accuracy,scenario_profile_primary_intent_accuracy,delta_profile_primary_intent_accuracy,baseline_profile_acceptable_intent_accuracy,scenario_profile_acceptable_intent_accuracy,delta_profile_acceptable_intent_accuracy,baseline_profile_cross_intent_specificity,scenario_profile_cross_intent_specificity,delta_profile_cross_intent_specificity,baseline_profile_mean_reciprocal_rank_all,scenario_profile_mean_reciprocal_rank_all,delta_profile_mean_reciprocal_rank_all,baseline_profile_mean_rank_covered,scenario_profile_mean_rank_covered,delta_profile_mean_rank_covered,baseline_profile_top_5_recall_all,scenario_profile_top_5_recall_all,delta_profile_top_5_recall_all,baseline_profile_top_10_recall_all,scenario_profile_top_10_recall_all,delta_profile_top_10_recall_all,baseline_profile_top_20_recall_all,scenario_profile_top_20_recall_all,delta_profile_top_20_recall_all
antibody_io__confidence_score__minus20,antibody_io,confidence_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.0816326530612245, ""evidence_balance_score"": 0.10204081632653061, ""modality_fit_score"": 0.20408163265306123, ""novelty_or_crowding_score"": 0.05102040816326531, ""opentargets_score"": 0.1530612244897959, ""resistance_axis_score"": 0.20408163265306123, ""role_fit_score"": 0.20408163265306123}",0.999993,0.036254,0.0,6.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__confidence_score__plus20,antibody_io,confidence_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.11764705882352941, ""evidence_balance_score"": 0.09803921568627451, ""modality_fit_score"": 0.19607843137254902, ""novelty_or_crowding_score"": 0.049019607843137254, ""opentargets_score"": 0.14705882352941177, ""resistance_axis_score"": 0.19607843137254902, ""role_fit_score"": 0.19607843137254902}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__evidence_balance_score__minus20,antibody_io,evidence_balance_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.10204081632653061, ""evidence_balance_score"": 0.08163265306122451, ""modality_fit_score"": 0.20408163265306123, ""novelty_or_crowding_score"": 0.05102040816326531, ""opentargets_score"": 0.15306122448979592, ""resistance_axis_score"": 0.20408163265306123, ""role_fit_score"": 0.20408163265306123}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__evidence_balance_score__plus20,antibody_io,evidence_balance_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.09803921568627451, ""evidence_balance_score"": 0.11764705882352941, ""modality_fit_score"": 0.19607843137254902, ""novelty_or_crowding_score"": 0.049019607843137254, ""opentargets_score"": 0.14705882352941177, ""resistance_axis_score"": 0.19607843137254902, ""role_fit_score"": 0.19607843137254902}",0.999993,0.036254,0.0,6.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__modality_fit_score__minus20,antibody_io,modality_fit_score,minus,0.2,0.8,0.2,0.16,0.166667,"{""confidence_score"": 0.10416666666666666, ""evidence_balance_score"": 0.10416666666666666, ""modality_fit_score"": 0.16666666666666669, ""novelty_or_crowding_score"": 0.05208333333333333, ""opentargets_score"": 0.15624999999999997, ""resistance_axis_score"": 0.20833333333333331, ""role_fit_score"": 0.20833333333333331}",0.999993,0.036254,0.0,6.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__modality_fit_score__plus20,antibody_io,modality_fit_score,plus,0.2,1.2,0.2,0.24,0.230769,"{""confidence_score"": 0.09615384615384616, ""evidence_balance_score"": 0.09615384615384616, ""modality_fit_score"": 0.23076923076923075, ""novelty_or_crowding_score"": 0.04807692307692308, ""opentargets_score"": 0.14423076923076922, ""resistance_axis_score"": 0.19230769230769232, ""role_fit_score"": 0.19230769230769232}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__novelty_or_crowding_score__minus20,antibody_io,novelty_or_crowding_score,minus,0.2,0.8,0.05,0.04,0.040404,"{""confidence_score"": 0.10101010101010102, ""evidence_balance_score"": 0.10101010101010102, ""modality_fit_score"": 0.20202020202020204, ""novelty_or_crowding_score"": 0.040404040404040414, ""opentargets_score"": 0.15151515151515152, ""resistance_axis_score"": 0.20202020202020204, ""role_fit_score"": 0.20202020202020204}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__novelty_or_crowding_score__plus20,antibody_io,novelty_or_crowding_score,plus,0.2,1.2,0.05,0.06,0.059406,"{""confidence_score"": 0.09900990099009901, ""evidence_balance_score"": 0.09900990099009901, ""modality_fit_score"": 0.19801980198019803, ""novelty_or_crowding_score"": 0.0594059405940594, ""opentargets_score"": 0.1485148514851485, ""resistance_axis_score"": 0.19801980198019803, ""role_fit_score"": 0.19801980198019803}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__opentargets_score__minus20,antibody_io,opentargets_score,minus,0.2,0.8,0.15,0.12,0.123711,"{""confidence_score"": 0.10309278350515465, ""evidence_balance_score"": 0.10309278350515465, ""modality_fit_score"": 0.2061855670103093, ""novelty_or_crowding_score"": 0.051546391752577324, ""opentargets_score"": 0.12371134020618557, ""resistance_axis_score"": 0.2061855670103093, ""role_fit_score"": 0.2061855670103093}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__opentargets_score__plus20,antibody_io,opentargets_score,plus,0.2,1.2,0.15,0.18,0.174757,"{""confidence_score"": 0.0970873786407767, ""evidence_balance_score"": 0.0970873786407767, ""modality_fit_score"": 0.1941747572815534, ""novelty_or_crowding_score"": 0.04854368932038835, ""opentargets_score"": 0.17475728155339804, ""resistance_axis_score"": 0.1941747572815534, ""role_fit_score"": 0.1941747572815534}",0.999993,0.036254,0.0,6.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__resistance_axis_score__minus20,antibody_io,resistance_axis_score,minus,0.2,0.8,0.2,0.16,0.166667,"{""confidence_score"": 0.10416666666666667, ""evidence_balance_score"": 0.10416666666666667, ""modality_fit_score"": 0.20833333333333334, ""novelty_or_crowding_score"": 0.052083333333333336, ""opentargets_score"": 0.15625, ""resistance_axis_score"": 0.1666666666666667, ""role_fit_score"": 0.20833333333333334}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__resistance_axis_score__plus20,antibody_io,resistance_axis_score,plus,0.2,1.2,0.2,0.24,0.230769,"{""confidence_score"": 0.09615384615384616, ""evidence_balance_score"": 0.09615384615384616, ""modality_fit_score"": 0.19230769230769232, ""novelty_or_crowding_score"": 0.04807692307692308, ""opentargets_score"": 0.14423076923076922, ""resistance_axis_score"": 0.23076923076923075, ""role_fit_score"": 0.19230769230769232}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__role_fit_score__minus20,antibody_io,role_fit_score,minus,0.2,0.8,0.2,0.16,0.166667,"{""confidence_score"": 0.10416666666666667, ""evidence_balance_score"": 0.10416666666666667, ""modality_fit_score"": 0.20833333333333334, ""novelty_or_crowding_score"": 0.052083333333333336, ""opentargets_score"": 0.15625, ""resistance_axis_score"": 0.20833333333333334, ""role_fit_score"": 0.1666666666666667}",0.999993,0.036254,0.0,6.0,1.0,1.0,5.0,0.818182,0.9,9.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
antibody_io__role_fit_score__plus20,antibody_io,role_fit_score,plus,0.2,1.2,0.2,0.24,0.230769,"{""confidence_score"": 0.09615384615384616, ""evidence_balance_score"": 0.09615384615384616, ""modality_fit_score"": 0.19230769230769232, ""novelty_or_crowding_score"": 0.04807692307692308, ""opentargets_score"": 0.14423076923076922, ""resistance_axis_score"": 0.19230769230769232, ""role_fit_score"": 0.23076923076923075}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.9474,0.9474,0.0,1.0,1.0,0.0,0.9474,0.9474,0.0,0.183,0.183,0.0,26.7895,26.7895,0.0,0.2632,0.2632,0.0,0.5263,0.5263,0.0,0.8421,0.8421,0.0
biomarker__confidence_score__minus20,biomarker,confidence_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.0816326530612245, ""evidence_balance_score"": 0.10204081632653061, ""modality_fit_score"": 0.20408163265306123, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.1530612244897959, ""resistance_axis_score"": 0.20408163265306123, ""role_fit_score"": 0.2551020408163265}",0.999999,0.012085,0.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0,0.0,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__confidence_score__plus20,biomarker,confidence_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.11764705882352941, ""evidence_balance_score"": 0.09803921568627451, ""modality_fit_score"": 0.19607843137254902, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.14705882352941177, ""resistance_axis_score"": 0.19607843137254902, ""role_fit_score"": 0.24509803921568626}",0.999998,0.024169,0.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,0.904762,0.95,19.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0,0.0,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__evidence_balance_score__minus20,biomarker,evidence_balance_score,minus,0.2,0.8,0.1,0.08,0.081633,"{""confidence_score"": 0.10204081632653061, ""evidence_balance_score"": 0.08163265306122451, ""modality_fit_score"": 0.20408163265306123, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.15306122448979592, ""resistance_axis_score"": 0.20408163265306123, ""role_fit_score"": 0.25510204081632654}",0.999999,0.018127,0.0,2.0,1.0,1.0,5.0,1.0,1.0,10.0,0.904762,0.95,19.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0,0.0,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
biomarker__evidence_balance_score__plus20,biomarker,evidence_balance_score,plus,0.2,1.2,0.1,0.12,0.117647,"{""confidence_score"": 0.09803921568627451, ""evidence_balance_score"": 0.11764705882352941, ""modality_fit_score"": 0.19607843137254902, ""novelty_or_crowding_score"": 0.0, ""opentargets_score"": 0.14705882352941177, ""resistance_axis_score"": 0.19607843137254902, ""role_fit_score"": 0.24509803921568626}",1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,20.0,0.8214,0.8214,0.0,0.7715,0.7715,0.0,0.9643,0.9643,0.0,0.8491,0.8491,0.0,1.0,1.0,0.0,0.2905,0.2905,0.0,0.5143,0.5143,0.0,0.7946,0.7946,0.0,0.8333,0.8333,0.0,0.9167,0.9167,0.0,0.9167,0.9167,0.0,0.1422,0.1422,0.0,24.0,24.0,0.0,0.2083,0.2083,0.0,0.4167,0.4167,0.0,0.5417,0.5417,0.0
